crime_type,neighbourhood,year,month,count
Theft from Vehicle,West End,2012,12,60
Theft from Vehicle,West End,2012,8,59
Theft from Vehicle,West End,2012,1,57
Theft from Vehicle,West End,2012,2,51
Theft from Vehicle,West End,2012,6,49
Theft from Vehicle,West End,2012,10,41
Theft from Vehicle,West End,2012,5,37
Theft from Vehicle,West End,2012,9,34
Theft from Vehicle,West End,2012,7,27
Theft from Vehicle,Fairview,2005,4,183
Theft from Vehicle,Fairview,2005,6,147
Theft from Vehicle,Fairview,2005,5,141
Theft from Vehicle,Fairview,2005,1,129
Theft from Vehicle,Fairview,2005,2,116
Theft from Vehicle,Fairview,2005,3,109
Theft from Vehicle,Fairview,2005,12,95
Theft from Vehicle,Fairview,2005,7,93
Theft from Vehicle,Fairview,2005,9,91
Theft from Vehicle,Fairview,2005,8,90
Theft from Vehicle,Fairview,2005,10,89
Theft from Vehicle,Fairview,2005,11,68
Theft from Vehicle,Fairview,2006,3,167
Theft from Vehicle,Fairview,2006,1,123
Theft from Vehicle,Fairview,2006,12,114
Theft from Vehicle,Fairview,2006,2,106
Theft from Vehicle,Fairview,2006,10,98
Theft from Vehicle,Fairview,2006,11,88
Theft from Vehicle,Fairview,2006,5,80
Theft from Vehicle,Fairview,2006,6,76
Theft from Vehicle,Fairview,2006,9,72
Theft from Vehicle,Fairview,2006,4,67
Theft from Vehicle,Fairview,2006,7,63
Theft from Vehicle,Fairview,2006,8,55
Theft from Vehicle,Fairview,2004,10,163
Theft from Vehicle,Fairview,2004,9,154
Theft from Vehicle,Fairview,2004,7,128
Theft from Vehicle,Fairview,2004,11,121
Theft from Vehicle,Fairview,2004,8,107
Theft from Vehicle,Fairview,2004,6,103
Theft from Vehicle,Fairview,2004,4,99
Theft from Vehicle,Fairview,2004,12,98
Theft from Vehicle,Fairview,2004,3,92
Theft from Vehicle,Fairview,2004,1,81
Theft from Vehicle,Fairview,2004,5,78
Theft from Vehicle,Fairview,2004,2,71
Theft from Vehicle,Fairview,2003,5,149
Theft from Vehicle,Fairview,2003,6,143
Theft from Vehicle,Fairview,2003,10,140
Theft from Vehicle,Fairview,2003,4,134
Theft from Vehicle,Fairview,2003,7,116
Theft from Vehicle,Fairview,2003,8,111
Theft from Vehicle,Fairview,2003,11,108
Theft from Vehicle,Fairview,2003,3,96
Theft from Vehicle,Fairview,2003,9,96
Theft from Vehicle,Fairview,2003,12,87
Theft from Vehicle,Fairview,2003,1,80
Theft from Vehicle,Fairview,2003,2,68
Theft from Vehicle,Fairview,2007,1,139
Theft from Vehicle,Fairview,2007,9,94
Theft from Vehicle,Fairview,2007,2,80
Theft from Vehicle,Fairview,2007,5,74
Theft from Vehicle,Fairview,2007,10,71
Theft from Vehicle,Fairview,2007,12,68
Theft from Vehicle,Fairview,2007,8,64
Theft from Vehicle,Fairview,2007,7,58
Theft from Vehicle,Fairview,2007,4,57
Theft from Vehicle,Fairview,2007,11,55
Theft from Vehicle,Fairview,2007,6,53
Theft from Vehicle,Fairview,2007,3,42
Theft from Vehicle,Fairview,2008,3,100
Theft from Vehicle,Fairview,2008,6,81
Theft from Vehicle,Fairview,2008,11,79
Theft from Vehicle,Fairview,2008,4,74
Theft from Vehicle,Fairview,2008,2,72
Theft from Vehicle,Fairview,2008,10,69
Theft from Vehicle,Fairview,2008,12,67
Theft from Vehicle,Fairview,2008,9,56
Theft from Vehicle,Fairview,2008,1,56
Theft from Vehicle,Fairview,2008,8,53
Theft from Vehicle,Fairview,2008,7,48
Theft from Vehicle,Fairview,2008,5,38
Theft from Vehicle,Fairview,2014,9,98
Theft from Vehicle,Fairview,2014,8,87
Theft from Vehicle,Fairview,2014,7,86
Theft from Vehicle,Fairview,2014,6,78
Theft from Vehicle,Fairview,2014,10,72
Theft from Vehicle,Fairview,2014,5,69
Theft from Vehicle,Fairview,2014,11,60
Theft from Vehicle,Fairview,2014,12,52
Theft from Vehicle,Fairview,2014,1,52
Theft from Vehicle,Fairview,2014,4,47
Theft from Vehicle,Fairview,2014,3,36
Theft from Vehicle,Fairview,2014,2,35
Theft from Vehicle,Fairview,2012,11,93
Theft from Vehicle,Fairview,2012,1,62
Theft from Vehicle,Fairview,2012,3,58
Theft from Vehicle,Fairview,2012,5,57
Theft from Vehicle,Fairview,2012,12,45
Theft from Vehicle,Fairview,2012,4,43
Theft from Vehicle,Fairview,2012,2,34
Theft from Vehicle,Fairview,2012,7,34
Theft from Vehicle,Fairview,2012,9,33
Theft from Vehicle,Fairview,2012,8,30
Theft from Vehicle,Fairview,2012,6,30
Theft from Vehicle,Fairview,2012,10,29
Theft from Vehicle,Fairview,2009,11,87
Theft from Vehicle,Fairview,2009,6,83
Theft from Vehicle,Fairview,2009,3,82
Theft from Vehicle,Fairview,2009,2,75
Theft from Vehicle,Fairview,2009,10,75
Theft from Vehicle,Fairview,2009,8,72
Theft from Vehicle,Fairview,2009,9,72
Theft from Vehicle,Fairview,2009,1,67
Theft from Vehicle,Fairview,2009,12,50
Theft from Vehicle,Fairview,2009,7,48
Theft from Vehicle,Fairview,2009,5,48
Theft from Vehicle,Fairview,2009,4,42
Theft from Vehicle,Fairview,2019,8,87
Theft from Vehicle,Fairview,2019,4,85
Theft from Vehicle,Fairview,2019,10,85
Theft from Vehicle,Fairview,2019,5,83
Theft from Vehicle,Fairview,2019,11,82
Theft from Vehicle,Fairview,2019,3,76
Theft from Vehicle,Fairview,2019,1,74
Theft from Vehicle,Fairview,2019,6,70
Theft from Vehicle,Fairview,2019,12,68
Theft from Vehicle,Fairview,2019,7,67
Theft from Vehicle,Fairview,2019,9,59
Theft from Vehicle,Fairview,2019,2,54
Theft from Vehicle,Fairview,2020,3,86
Theft from Vehicle,Fairview,2020,2,72
Theft from Vehicle,Fairview,2020,1,72
Theft from Vehicle,Fairview,2020,4,65
Theft from Vehicle,Fairview,2020,10,59
Theft from Vehicle,Fairview,2020,11,53
Theft from Vehicle,Fairview,2020,8,50
Theft from Vehicle,Fairview,2020,9,40
Theft from Vehicle,Fairview,2020,12,36
Theft from Vehicle,Fairview,2020,5,33
Theft from Vehicle,Fairview,2020,7,33
Theft from Vehicle,Fairview,2020,6,30
Theft from Vehicle,Fairview,2016,5,84
Theft from Vehicle,Fairview,2016,1,77
Theft from Vehicle,Fairview,2016,4,57
Theft from Vehicle,Fairview,2016,12,57
Theft from Vehicle,Fairview,2016,7,56
Theft from Vehicle,Fairview,2016,3,52
Theft from Vehicle,Fairview,2016,9,47
Theft from Vehicle,Fairview,2016,2,41
Theft from Vehicle,Fairview,2016,8,37
Theft from Vehicle,Fairview,2016,6,36
Theft from Vehicle,Fairview,2016,10,34
Theft from Vehicle,Fairview,2016,11,30
Theft from Vehicle,Fairview,2010,5,77
Theft from Vehicle,Fairview,2010,11,72
Theft from Vehicle,Fairview,2010,2,70
Theft from Vehicle,Fairview,2010,10,64
Theft from Vehicle,Fairview,2010,4,61
Theft from Vehicle,Fairview,2010,8,54
Theft from Vehicle,Fairview,2010,3,52
Theft from Vehicle,Fairview,2010,1,46
Theft from Vehicle,Fairview,2010,12,44
Theft from Vehicle,Fairview,2010,7,42
Theft from Vehicle,Fairview,2010,9,37
Theft from Vehicle,Fairview,2010,6,36
Theft from Vehicle,Fairview,2018,1,74
